C3,CZ,C4
-10.990037,-17.639614,-28.334503
-11.0237875,-17.693787,-28.42152
-11.0574465,-17.74781,-28.508297
-11.091012,-17.801685,-28.594835
-11.124484,-17.855412,-28.681135
-11.157866,-17.908989,-28.767197
-11.191154,-17.96242,-28.853024
-11.224351,-18.015701,-28.93861
-11.257456,-18.068838,-29.023962
-11.290468,-18.121824,-29.109074
-11.323388,-18.174662,-29.193949
-11.3562155,-18.227352,-29.278585
-11.38895,-18.279894,-29.362982
-11.421594,-18.332289,-29.447142
-11.454145,-18.384535,-29.531067
-11.486606,-18.436636,-29.614758
-11.518976,-18.48859,-29.698212
-11.551254,-18.5404,-29.781433
-11.583443,-18.592064,-29.864422
-11.61554,-18.643581,-29.947172
-11.647544,-18.694952,-30.029688
